<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[19, 0.34407484407484407, 0.35269709543568467, 40, 'tournament_selection', 'crossover_weight', 0.9357495361280102, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0826155143541982, -0.00023398063316900503, 10934.462429769539],1.74471811864178
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[20, 0.37214137214137216, 0.36929460580912865, 40, 'tournament_selection', 'crossover_weight', 0.9346557030190676, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0859280068285484, 0.01624953248202065, 10377.33914303111],1.7702517645511986
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[21, 0.3887733887733888, 0.4107883817427386, 40, 'tournament_selection', 'crossover_weight', 0.9332853877276053, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0902218563931227, 0.002072570488398026, 10059.822375912034],1.8010339974109943
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[22, 0.3970893970893971, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9343352346338246, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0867832122277201, -0.015015795846995791, 9662.04864084964],1.820907274452588
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[23, 0.3970893970893971, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9334017783253244, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0897378000039362, -0.0007833057639605318, 9966.797137587846],1.84624302949273
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[24, 0.4501039501039501, 0.43568464730290457, 40, 'tournament_selection', 'crossover_weight', 0.9331246903848611, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.090641803376772, 0.0019130170274830396, 9695.834385684655],1.8802484841902118
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[25, 0.4501039501039501, 0.43568464730290457, 40, 'tournament_selection', 'crossover_weight', 0.9341929211616706, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0871246168693487, -0.0089914487820359, 9615.401578938992],1.9095775079225716
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[26, 0.4501039501039501, 0.4315352697095436, 40, 'tournament_selection', 'crossover_weight', 0.9338352307951132, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0882618522662983, 0.016991213990249554, 9925.486527014455],1.9280443183991782
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[27, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'crossover_weight', 0.9319934308555639, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0941857386019795, -0.00047137508045386883, 9821.65652964972],1.941760025386379
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[28, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'crossover_weight', 0.9300732084342943, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1007529617228207, 0.012526275979901656, 9287.020708421762],1.9518300217445068
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[29, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'crossover_weight', 0.9315325687574766, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0954113461068034, -0.019190189649281618, 8729.620488619918],1.976463549798298
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[30, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'crossover_weight', 0.9331936146551069, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0896410311773006, -0.0027792070805172653, 9153.242125312441],1.9934690264018757
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[31, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'crossover_weight', 0.9346285031413168, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0849307476303482, -0.007396980690585815, 9635.408846305063],2.0106882859326496
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[32, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'crossover_weight', 0.9328948822712383, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0903622806625626, 0.002760094506049443, 10051.92682294434],2.027067953549694
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[33, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'crossover_weight', 0.9340554152220393, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0865154775501955, 0.01572934711762195, 9548.693112447409],2.047888973319821
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[34, 0.4553014553014553, 0.4149377593360996, 40, 'tournament_selection', 'crossover_weight', 0.9327726017478598, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0906082090157156, -0.012505708936686219, 9885.571442113032],2.0654394817034976
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[35, 0.4553014553014553, 0.4149377593360996, 40, 'tournament_selection', 'crossover_weight', 0.9340552637564071, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0863397602465983, 0.02310257004692614, 9513.19764595684],2.080121794405841
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[36, 0.4553014553014553, 0.4149377593360996, 40, 'tournament_selection', 'crossover_weight', 0.9342369172963159, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0857602978045982, -0.03204492255163217, 9885.527474822728],2.099679655465175
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[37, 0.45634095634095634, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9329499190614896, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0898417738750776, 0.013798440156999207, 9938.257680423587],2.126984600200164
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[38, 0.4708939708939709, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9333799550092108, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0884193996980127, 0.0057256500973720745, 9564.669136184817],2.143967309815954
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[39, 0.4708939708939709, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9344657029862831, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0848791038494943, -0.004252213495713308, 9689.499535584046],2.1631605291657325
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[40, 0.4708939708939709, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9353276270429821, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.082166020067074, -0.013869279596368508, 10004.669358811812],2.165065987448103
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[41, 0.4708939708939709, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9367208730580349, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0778981888503056, 0.018669653410005135, 10254.867801104192],2.1893381051709753
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[42, 0.4708939708939709, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9354326317871958, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.081679670108785, 0.001718269885321179, 10659.297843388027],2.1993019027919067
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[43, 0.4708939708939709, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9360032778417458, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0799376142554644, 0.00031477713152051195, 10285.348471914334],2.2074055540199806
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[44, 0.4708939708939709, 0.45228215767634855, 40, 'tournament_selection', 'crossover_weight', 0.9353426873654995, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0819190907922758, 0.020262972913592615, 10450.99503072539],2.2236361234493582
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[45, 0.4802494802494803, 0.44398340248962653, 40, 'tournament_selection', 'crossover_weight', 0.9312217920658076, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.0945340774507186, -0.03723593495811717, 10259.239496272687],2.239617131615339
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[46, 0.4812889812889813, 0.44398340248962653, 40, 'tournament_selection', 'crossover_weight', 0.9224926963849683, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1251354364882409, 0.007026729127718963, 9063.030181983966],2.28757070881602
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[47, 0.4812889812889813, 0.44398340248962653, 40, 'tournament_selection', 'crossover_weight', 0.9251330142375902, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1119279707014236, 0.029040639908949818, 6529.157127864461],2.3533385113640697
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[48, 0.4896049896049896, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9258725250361942, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1086562471674684, -0.03984203548783848, 7295.585920225457],2.3720950780581638
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[49, 0.4896049896049896, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9264099625132289, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1063532890466703, 0.0038587729430380815, 7510.250365928148],2.3855256277072714
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[50, 0.4896049896049896, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9260081805321227, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.1080364145568027, -0.0130466335114202, 7666.257172489072],2.406951217267486
<class 'problems.ANNOP.ANNOP'>,407709656,algorithms.AGA_4p,[51, 0.4896049896049896, 0.4730290456431535, 40, 'tournament_selection', 'crossover_weight', 0.9259440110375817, 'ball_mutation', <mtrand.RandomState object at 0x184D27D8>, None, 1.108309798296843, 0.00993826523554002, 7549.628305905499],2.423014166012906
