<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[19, 0.2910602910602911, 0.2821576763485477, 40, 'tournament_selection', 'crossover_weight', 0.9409966104639754, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0729677094855623, -0.0052338829436127735, 11529.039919747882],1.6510321138491577
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[20, 0.2910602910602911, 0.2821576763485477, 40, 'tournament_selection', 'crossover_weight', 0.9423702995097325, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0693724757033292, -0.0008892023756177751, 12384.612490745456],1.688628178380337
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[21, 0.2910602910602911, 0.2821576763485477, 40, 'tournament_selection', 'crossover_weight', 0.9450705034778526, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0625575042830084, 0.0009333718336226905, 12799.588419778236],1.7245267499398642
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[22, 0.2910602910602911, 0.2821576763485477, 40, 'tournament_selection', 'crossover_weight', 0.9464091137554289, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0594016700100497, 0.0035688481185880416, 13615.289508543266],1.7236872325252344
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[23, 0.29625779625779625, 0.3070539419087137, 40, 'tournament_selection', 'crossover_weight', 0.9451139490132645, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.062358200699297, -0.00045838616873630084, 14019.668538328657],1.750710817024172
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[24, 0.31496881496881496, 0.31950207468879666, 40, 'tournament_selection', 'crossover_weight', 0.9477271037152778, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0562046575311663, 0.006325953079473548, 13628.413913571902],1.80272406951207
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[25, 0.31496881496881496, 0.31950207468879666, 40, 'tournament_selection', 'crossover_weight', 0.9425141196208792, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.067741033408878, -0.0017600133265330345, 14417.818403273359],1.8007630315968788
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[26, 0.3388773388773389, 0.3360995850622407, 40, 'tournament_selection', 'crossover_weight', 0.937091454991031, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.08136004184028, -0.010301910319812004, 12843.034849245701],1.8056473906771997
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[27, 0.3388773388773389, 0.3360995850622407, 40, 'tournament_selection', 'crossover_weight', 0.9290042325308745, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.104937437820031, 0.00882980359966554, 11204.909176223184],1.8176892944200624
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[28, 0.3388773388773389, 0.3360995850622407, 40, 'tournament_selection', 'crossover_weight', 0.9313358586300557, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0960549377737319, -0.002196709084460749, 8761.850709633585],1.8404855096370156
