<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[18, 0.29625779625779625, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.010132480110480832, 12056.970749403908],1.675685325311167
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[19, 0.29625779625779625, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.007096510645318806, 11649.696936535254],1.7111022046491722
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[20, 0.29625779625779625, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.1515, 1.01, 0.03645278210185637, 12236.368657445179],1.7337935921964196
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[21, 0.32224532224532226, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15301499999999998, 1.01, -0.01920305445506889, 12332.722183430393],1.7726447655902537
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[22, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15454515, 1.01, 0.007644834936631685, 11921.330520322208],1.8061932035387527
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[23, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15609060149999998, 1.01, -0.014753764722125709, 12019.443537045248],1.8270437911576747
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[24, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15765150751499998, 1.01, 0.019267834538733986, 11236.323270466137],1.8561426851744887
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[25, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15922802259014998, 1.01, -0.0014553746197544098, 10666.942522430461],1.8833457322026175
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[26, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.16082030281605147, 1.01, -0.011351637946245559, 11199.160326675401],1.8941086275772425
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[27, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.16242850584421198, 1.01, -0.00712808406453664, 11691.738364626595],1.9201874203465688
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[28, 0.3471933471933472, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.1640527909026541, 1.01, 0.0001371366387812878, 11785.983337124771],1.9463309560394895
