<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[9, 0.3316008316008316, 0.3029045643153527, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.01597692507203595, 9395.364162947924],1.4323852383867104
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[10, 0.3367983367983368, 0.35269709543568467, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.006873550113182789, 8971.468986606269],1.4494594806946117
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[11, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0005653097366167467, 8314.512076361429],1.4540104620469725
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[12, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0021990068010671396, 8995.644674477557],1.4800354351574505
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[13, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.009549053064143227, 9788.860766862415],1.5104317327975583
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[14, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.004863095207615992, 10155.96027899241],1.5152355864007347
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[15, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0026069218455848364, 8478.446894767605],1.5074376194104768
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[16, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.002549734016188396, 7777.25918687038],1.5175676799409015
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[17, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.009039453900455796, 8164.603235176156],1.525478675030419
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[18, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.01067405292513779, 8509.64185521583],1.522290805137129
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[19, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.006299272146358836, 8124.981124157165],1.5239159904080548
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[20, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.003151841830122154, 7638.304364402953],1.5251774199188377
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[21, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0009531307978116119, 8090.882442818339],1.534816035363487
