<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[15, 0.3191268191268191, 0.33195020746887965, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.0019307124425039165, 8453.091416593299],1.5048409654488395
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[16, 0.3232848232848233, 0.34439834024896265, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.0015393333494084643, 8303.253307523886],1.5220656534785844
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[17, 0.3316008316008316, 0.31950207468879666, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.0021803408098357013, 8099.782849401318],1.5346749224764469
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[18, 0.3316008316008316, 0.31950207468879666, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.0041169570018521895, 8303.895767888102],1.5508746776310818
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[19, 0.3316008316008316, 0.31950207468879666, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.00509592122982544, 9229.090198035667],1.5816408110471791
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[20, 0.35135135135135137, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.004387645589800343, 9933.685513318671],1.6147274451015008
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[21, 0.35135135135135137, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.021769025919268013, 8901.927650006151],1.644624218257307
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[22, 0.35135135135135137, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.02235505202282656, 10007.092171261576],1.663148248874268
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[23, 0.35135135135135137, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.0003830576201491326, 9732.379215196355],1.6616082419866502
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[24, 0.35135135135135137, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.001569511308405401, 9682.817736409106],1.6517368013129063
