<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[19, 0.3128898128898129, 0.2821576763485477, 40, 'tournament_selection', 'crossover_weight', 0.9332710999724966, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0904945816486518, 0.005953834453858824, 9515.388748761725],1.7419589617318127
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[20, 0.32536382536382535, 0.2987551867219917, 40, 'tournament_selection', 'crossover_weight', 0.935426890579064, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0834287558191051, -0.01138726948061455, 10028.543724213901],1.7650609091321512
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[21, 0.32536382536382535, 0.2987551867219917, 40, 'tournament_selection', 'crossover_weight', 0.9343990689198524, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.086572050427359, 0.02354796348769703, 10678.340105339965],1.7889011766049396
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[22, 0.32536382536382535, 0.2987551867219917, 40, 'tournament_selection', 'crossover_weight', 0.9311793007879243, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0967424130879329, -0.017453665866755945, 10368.535065572127],1.820802146785105
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[23, 0.3305613305613306, 0.3070539419087137, 40, 'tournament_selection', 'crossover_weight', 0.9312945298643042, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.096337090928381, 0.0001366023501960939, 9398.035577440898],1.8486154626258422
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[24, 0.3305613305613306, 0.2946058091286307, 40, 'tournament_selection', 'crossover_weight', 0.9314906748962755, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0956499386538978, 0.0009798050653368195, 9432.767817485019],1.8703002914215563
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[25, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9311697982267946, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.096766359640079, 0.01303903415891082, 9491.889668912736],1.8860732611952138
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[26, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9297359257137819, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1018117023299556, -0.009634428161430418, 9395.17132438465],1.905544556916862
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[27, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9308520630836405, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.097676054335153, 0.03426818263768243, 8962.974817398615],1.9268285272339003
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[28, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9312096412526354, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0964038379760896, -0.04142283167712034, 9299.399895773226],1.9535611521105212
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[29, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9310083899219734, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.097110839795013, -0.0026214506122263226, 9407.180771835421],1.9793645254983336
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[30, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9319232739032302, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.093873879941511, 0.006777309672678512, 9346.519784649312],2.007645043601148
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[31, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9316583289057199, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0947817329808835, -0.004148252121123831, 9622.283255535469],2.026977056773476
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[32, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9339653003418876, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0868039581768296, -0.0018583534079501356, 9542.423783073184],2.041988326201833
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[33, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.936937011042031, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.077295233334231, 0.008426710710574176, 10237.788947953368],2.0573979753760168
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[34, 0.3575883575883576, 0.3278008298755187, 40, 'tournament_selection', 'crossover_weight', 0.9356491294761787, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0810514351298037, -0.007464563314328897, 11133.519197832038],2.0871451714943987
