<class 'problems.ANNOP.ANNOP'>,414051464,algorithms.AGA_4p,[0, 0.19126819126819128, 0.1908713692946058, 40, 'tournament_selection', 'crossover_weight', 1.0, 'ball_mutation', <mtrand.RandomState object at 0x18ADEC88>, None, 1.0, 0.004915970373073772, 32807.7981826224],1.1570168368340088
<class 'problems.ANNOP.ANNOP'>,414051464,algorithms.AGA_4p,[1, 0.19126819126819128, 0.1908713692946058, 40, 'tournament_selection', 'crossover_weight', 0.9885364627416668, 'ball_mutation', <mtrand.RandomState object at 0x18ADEC88>, None, 1.0, 0.0014798360851077628, 29027.89872817495],1.1901133050535029
<class 'problems.ANNOP.ANNOP'>,414051464,algorithms.AGA_4p,[2, 0.2151767151767152, 0.23651452282157676, 40, 'tournament_selection', 'crossover_weight', 0.9752364210584265, 'ball_mutation', <mtrand.RandomState object at 0x18ADEC88>, None, 1.015022106453527, 0.005563760429660204, 25700.274742159403],1.2293527168141385
