<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[19, 0.27754677754677753, 0.2946058091286307, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0013942985119013152, 10937.021200861123],1.7023193643854488
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[20, 0.2972972972972973, 0.29045643153526973, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0013036707155357555, 10340.100037046846],1.737648157808611
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[21, 0.2972972972972973, 0.29045643153526973, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.008006396037595946, 10230.565041033025],1.76969680290183
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[22, 0.2972972972972973, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0006928333086723207, 9744.144197147492],1.7834184662567911
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[23, 0.2972972972972973, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.010280518718935983, 9620.359940373102],1.8028399004903473
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[24, 0.30457380457380456, 0.3236514522821577, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.005847988419982492, 9793.098399404364],1.8288138333097401
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[25, 0.31496881496881496, 0.2987551867219917, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.011165164927779032, 10074.469493373183],1.8601611061859862
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[26, 0.32432432432432434, 0.3360995850622407, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.014245641499437758, 9971.53458349367],1.8743120382047334
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[27, 0.3316008316008316, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.01024833048882439, 9207.286900062212],1.892732221472301
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[28, 0.3316008316008316, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.005470835914281394, 8496.377296132343],1.905370299856332
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[29, 0.3316008316008316, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0035874882132340483, 7961.203902167232],1.9267521373009937
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[30, 0.3316008316008316, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.014622149924769921, 8129.088379840976],1.9571910140567428
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[31, 0.3316008316008316, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.007894370705896325, 8640.328471353367],1.9756432272994484
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[32, 0.3316008316008316, 0.34854771784232363, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.017635283919991904, 8652.500682819134],1.9916985369635791
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[33, 0.33367983367983367, 0.31950207468879666, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.003177681005222345, 7983.332459616391],2.0066051602018105
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[34, 0.340956340956341, 0.3278008298755187, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.00041232518084090286, 8140.037611190131],2.0232894467566997
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[35, 0.340956340956341, 0.3278008298755187, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0038235054576875455, 8796.770723402242],2.0594709997621536
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[36, 0.340956340956341, 0.3278008298755187, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.001684774376460238, 8908.553127480029],2.075271335555635
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[37, 0.3575883575883576, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0014623421357430888, 7453.856018751244],2.1170688738498877
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[38, 0.3575883575883576, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.007255149624909585, 7473.515526939789],2.1301428271472775
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[39, 0.3659043659043659, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.008594187451236142, 7935.8109562180525],2.1426311723660394
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[40, 0.3659043659043659, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.002729631093255122, 8412.839332801443],2.157950112105533
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[41, 0.3659043659043659, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0062088338247694025, 8323.667444581875],2.1726686230734074
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[42, 0.3659043659043659, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0002178863246925164, 8609.011269037836],2.1817550369739993
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[43, 0.3659043659043659, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.005078249460232297, 8574.440617636354],2.19906664267801
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[44, 0.3659043659043659, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0029358336989097553, 7971.916802502654],2.237057218581413
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[45, 0.3659043659043659, 0.3775933609958506, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.004577304462397798, 8168.482033791061],2.2522663141586263
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[46, 0.3711018711018711, 0.3651452282157676, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.004125258279960985, 7580.292450706892],2.2653204205181754
