<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[11, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.007148659372712925, 12165.188949976604],1.4971484907767758
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[12, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.001009852293886851, 12684.897477535495],1.5318677939105514
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[13, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.003008273514590612, 12400.132343988396],1.5483011966672733
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[14, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.003579752641417411, 10566.092951027877],1.5375040488324216
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[15, 0.24220374220374222, 0.22406639004149378, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0066020979761865495, 9780.069868949466],1.5447199373930074
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[16, 0.24220374220374222, 0.22406639004149378, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.007075402961641716, 9780.913025967015],1.5589988035962279
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[17, 0.24220374220374222, 0.22406639004149378, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.004198017889582427, 11157.778089515677],1.5853391911492516
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[18, 0.24220374220374222, 0.22406639004149378, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.010547983761947082, 11337.56386613736],1.6123430142093067
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[19, 0.2494802494802495, 0.2572614107883817, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.0024816479054138516, 11631.388466501434],1.6304076384738104
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[20, 0.2494802494802495, 0.2572614107883817, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.008331414569963669, 11265.798385581047],1.6635273644186324
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[21, 0.30353430353430355, 0.31950207468879666, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.02553771088082358, 9429.534394449078],1.6670555159112852
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[22, 0.30353430353430355, 0.31950207468879666, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.018351169602979066, 10249.509856993256],1.6961525352713762
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[23, 0.31392931392931395, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.011975148724127287, 10621.39235018472],1.7308713993074367
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[24, 0.31392931392931395, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.010339782094385196, 10428.791173933323],1.7540176740905395
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[25, 0.31392931392931395, 0.3112033195020747, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.006182335700853043, 9672.281307824082],1.7881554055307554
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[26, 0.32224532224532226, 0.3278008298755187, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.003948997428135696, 10214.752692504462],1.800848990802526
